Region,State,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Avg_Discount,Profit_Margin_%,Avg_Discount_%
West,California,457687.6315,76381.38709999999,1021,7667,0.07276361819090454,16.69,7.28
East,New York,310876.271,74038.5486,562,4224,0.055319148936170216,23.82,5.53
Central,Texas,170188.0458,-25729.3563,487,3724,0.3701928934010152,-15.12,37.02
West,Washington,138641.27,33402.6517,256,1883,0.06403162055335967,24.09,6.4
East,Pennsylvania,116511.914,-15559.9603,288,2153,0.32862010221465077,-13.35,32.86
South,Florida,89473.708,-3399.3017000000004,200,1379,0.2993472584856397,-3.8,29.93
Central,Illinois,80166.101,-12607.887,276,1845,0.3900406504065041,-15.73,39.0
East,Ohio,78258.136,-16971.3766,236,1759,0.3249466950959488,-21.69,32.49
Central,Michigan,76269.614,24463.1876,117,946,0.007058823529411765,32.07,0.71
South,Virginia,70636.72,18597.9504,115,893,0.0,26.33,0.0
South,North Carolina,55603.164,-7490.9122,136,983,0.2835341365461847,-13.47,28.35
Central,Indiana,53555.36,18382.9363,73,578,0.0,34.33,0.0
South,Georgia,49095.84,16250.0433,91,705,0.0,33.1,0.0
South,Kentucky,36591.75,11199.6966,61,523,0.0,30.61,0.0
East,New Jersey,35764.312,9772.9138,61,454,0.004615384615384615,27.33,0.46
West,Arizona,35282.001,-3427.9246,108,862,0.30357142857142855,-9.72,30.36
Central,Wisconsin,32114.61,8401.8004,53,463,0.0,26.16,0.0
West,Colorado,32108.118,-6527.8579,79,693,0.31648351648351647,-20.33,31.65
South,Tennessee,30661.873,-5341.6936,91,681,0.29125683060109286,-17.42,29.13
Central,Minnesota,29863.15,10823.1874,44,331,0.0,36.24,0.0
East,Massachusetts,28634.434,6785.5016000000005,62,491,0.015555555555555557,23.7,1.56
East,Delaware,27451.069,9977.3748,44,367,0.0062499999999999995,36.35,0.62
East,Maryland,23705.523,7031.1788,46,420,0.005714285714285714,29.66,0.57
East,Rhode Island,22627.956,7285.6293000000005,25,199,0.02142857142857143,32.2,2.14
Central,Missouri,22205.15,6436.2105,30,252,0.0,28.99,0.0
Central,Oklahoma,19683.39,4853.956,34,247,0.0,24.66,0.0
South,Alabama,19510.64,5786.8253,34,256,0.0,29.66,0.0
West,Oregon,17431.15,-1190.4705,56,499,0.2887096774193548,-6.83,28.87
West,Nevada,16729.102,3316.7659,23,168,0.06153846153846155,19.83,6.15
East,Connecticut,13384.357,3511.4918,45,281,0.007317073170731707,26.24,0.73
South,Arkansas,11678.13,4008.6871,27,240,0.0,34.33,0.0
West,Utah,11220.056,2546.5335,26,219,0.06037735849056604,22.7,6.04
South,Mississippi,10771.34,3172.9762,26,221,0.0,29.46,0.0
South,Louisiana,9217.03,2196.1023,21,156,0.0,23.83,0.0
East,Vermont,8929.369999999999,2244.9782999999998,6,50,0.0,25.14,0.0
South,South Carolina,8481.71,1769.0566,20,172,0.0,20.86,0.0
Central,Nebraska,7464.93,2037.0942000000002,23,136,0.0,27.29,0.0
East,New Hampshire,7292.524,1706.5028,17,127,0.011111111111111112,23.4,1.11
West,Montana,5589.352,1833.3285,8,56,0.06666666666666667,32.8,6.67
West,New Mexico,4783.522,1157.1161,22,151,0.05945945945945946,24.19,5.95
Central,Iowa,4579.76,1183.8119,17,112,0.0,25.85,0.0
West,Idaho,4382.486,826.7231,11,64,0.08571428571428572,18.86,8.57
Central,Kansas,2914.31,836.4435,14,74,0.0,28.7,0.0
East,District of Columbia,2865.02,1059.5892999999999,4,40,0.0,36.98,0.0
West,Wyoming,1603.136,100.196,1,4,0.2,6.25,20.0
Central,South Dakota,1315.56,394.8283,5,42,0.0,30.01,0.0
East,Maine,1270.53,454.4862,3,35,0.0,35.77,0.0
East,West Virginia,1209.824,185.9216,2,18,0.075,15.37,7.5
Central,North Dakota,919.91,230.1497,2,30,0.0,25.02,0.0
